Age (Years),2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
15      -      19,11.8,15.4,12.3,12.4,11.8,12.3,15.8,15.3,14.2,15.2,15.1
20      -      24,63.5,65.8,62.8,63.6,61.7,61.8,65.3,62.3,62.2,61.3,61.0
25      -      29,89.3,89.4,89.2,88.3,88.5,89.0,90.3,90.3,90.2,90.0,90.1
30      -      34,88.3,89.0,88.6,89.8,90.1,89.9,90.2,90.8,91.8,91.0,92.3
35      -      39,85.8,86.2,87.3,88.0,88.0,88.8,89.1,89.7,89.8,89.0,89.6
40      -      44,84.4,84.4,84.9,85.4,85.7,87.1,87.6,88.2,87.7,88.8,88.7
45      -      49,82.1,82.4,83.7,84.4,84.5,84.7,85.9,86.3,86.8,86.5,87.9
50      -      54,78.1,78.6,79.7,79.5,80.0,81.8,82.4,81.4,82.8,82.0,82.3
55      -      59,68.4,68.3,70.2,72.4,73.2,74.3,75.5,75.8,74.9,75.1,75.0
60      -      64,50.6,51.0,54.7,58.1,59.7,61.2,62.4,62.8,63.6,62.2,63.9
65      -      69,29.9,30.9,36.2,38.6,40.2,41.2,42.2,43.2,43.4,45.3,46.1
70     &     Over,10.5,11.0,12.5,13.1,14.4,15.3,14.9,15.0,16.2,17.0,17.6
