Age (Years),2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Gender
15      -      19,10.4,13.1,9.8,10.9,10.2,9.6,13.1,12.4,10.2,11.6,12.4,F
20      -      24,61.8,65.3,62.5,62.6,59.9,59.8,66.3,62.0,61.6,62.4,62.9,F
25      -      29,85.5,85.7,86.7,86.8,88.0,88.6,89.7,90.6,89.6,89.4,90.1,F
30      -      34,79.9,81.3,81.0,83.3,83.7,83.3,83.9,85.3,86.9,84.9,88.3,F
35      -      39,75.5,75.2,77.6,78.9,79.4,80.9,81.7,82.3,82.9,81.8,82.7,F
40      -      44,71.3,72.7,73.9,74.8,75.4,78.1,78.9,80.2,78.9,81.0,81.2,F
45      -      49,67.9,68.9,71.5,73.4,73.1,73.7,75.5,77.2,77.7,78.1,80.3,F
50      -      54,63.0,64.9,66.1,65.6,66.5,70.4,70.6,70.3,71.2,71.5,71.3,F
55      -      59,49.5,51.7,55.1,56.2,59.1,61.4,62.8,63.1,61.8,62.1,63.3,F
60      -      64,33.0,35.4,38.4,41.7,44.2,45.5,47.7,48.8,49.9,49.4,50.8,F
65      -      69,17.7,19.1,23.9,26.3,27.9,29.5,31.1,31.4,32.9,33.7,35.3,F
70     &     Over,5.2,6.0,6.6,7.4,8.0,8.8,9.4,9.8,9.6,11.3,11.5,F
