Age (Years),2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Gender
15      -      19,13.0,17.5,14.6,13.8,13.2,14.9,18.3,18.0,18.0,18.4,17.5,M
20      -      24,65.2,66.2,63.2,64.5,63.2,63.6,64.4,62.6,62.7,60.3,59.3,M
25      -      29,93.3,93.3,91.8,89.9,89.0,89.4,90.9,90.0,90.7,90.7,90.0,M
30      -      34,97.7,97.7,97.4,97.2,97.2,97.5,97.4,97.0,97.4,97.8,96.8,M
35      -      39,97.8,98.0,97.7,98.2,97.5,97.2,97.5,97.8,97.6,97.2,97.8,M
40      -      44,97.8,96.8,97.1,97.1,97.1,96.8,97.1,97.2,97.0,97.2,97.3,M
45      -      49,96.4,96.1,96.0,95.6,96.1,96.4,96.9,96.3,96.6,95.4,96.0,M
50      -      54,93.5,92.6,93.5,93.8,94.0,93.8,94.2,92.9,94.4,92.8,93.9,M
55      -      59,86.8,85.0,85.7,88.5,87.6,87.5,88.2,88.7,88.0,88.0,87.3,M
60      -      64,69.5,67.5,71.1,74.6,75.0,77.0,77.2,76.9,77.8,75.7,76.7,M
65      -      69,43.6,43.7,49.1,52.6,53.4,54.1,54.5,55.7,54.8,57.3,57.6,M
70     &     Over,17.6,17.9,20.5,20.7,22.9,23.7,22.3,22.1,24.8,24.6,25.4,M
